,Number of Specimens,Percentage
Nannochordeiles,20,0.07550018875047187
Mazaria,19,0.07172517931294828
Phoenicircus,19,0.07172517931294828
Taraba,18,0.06795016987542468
Piprites,18,0.06795016987542468
Tyranneutes,18,0.06795016987542468
Selenidera,18,0.06795016987542468
Myrmornis,18,0.06795016987542468
Nasica,17,0.06417516043790109
Leptopogon,17,0.06417516043790109
Nonnula,17,0.06417516043790109
Columbina,17,0.06417516043790109
Serpophaga,16,0.0604001510003775
Cyanocorax,16,0.0604001510003775
Colaptes,16,0.0604001510003775
Chlorestes,16,0.0604001510003775
Lepidocolaptes,15,0.05662514156285391
Crypturellus,15,0.05662514156285391
Hylocharis,15,0.05662514156285391
Progne,15,0.05662514156285391
Psophia,15,0.05662514156285391
Aprositornis,15,0.05662514156285391
Furnarius,14,0.05285013212533032
Laniocera,14,0.05285013212533032
Chrysomus,14,0.05285013212533032
Anabacerthia,14,0.05285013212533032
Pitangus,14,0.05285013212533032
Myrmothera,14,0.05285013212533032
Dolospingus,13,0.04907512268780672
Myiodynastes,13,0.04907512268780672
Myioborus,13,0.04907512268780672
Chlorophanes,13,0.04907512268780672
Pachysylvia,12,0.045300113250283124
Inezia,12,0.045300113250283124
Volatinia,11,0.041525103812759534
Galbalcyrhynchus,11,0.041525103812759534
Coccyzus,11,0.041525103812759534
Pygochelidon,11,0.041525103812759534
Calidris,11,0.041525103812759534
Pauxi,11,0.041525103812759534
Psarocolius,11,0.041525103812759534
Dysithamnus,11,0.041525103812759534
Cacicus,11,0.041525103812759534
Cyclarhis,11,0.041525103812759534
Pulsatrix,11,0.041525103812759534
Chordeiles,11,0.041525103812759534
Florisuga,11,0.041525103812759534
Buteo,10,0.03775009437523594
Jacamerops,10,0.03775009437523594
Henicorhina,10,0.03775009437523594
Ramphocaenus,10,0.03775009437523594
Paroaria,10,0.03775009437523594
Psittacara,10,0.03775009437523594
Tityra,10,0.03775009437523594
Penelope,10,0.03775009437523594
Nyctibius,10,0.03775009437523594
Ammodramus,9,0.03397508493771234
Phaeomyias,9,0.03397508493771234
Mimus,9,0.03397508493771234
Conopias,9,0.03397508493771234
Myiornis,9,0.03397508493771234
Tyrannulus,9,0.03397508493771234
Porphyrio,9,0.03397508493771234
Piaya,9,0.03397508493771234
Xiphocolaptes,9,0.03397508493771234
Patagioenas,9,0.03397508493771234
Roraimia,9,0.03397508493771234
Setophaga,9,0.03397508493771234
Crotophaga,9,0.03397508493771234
Geothlypis,8,0.03020007550018875
Myiozetetes,8,0.03020007550018875
Nemosia,8,0.03020007550018875
Heliothryx,8,0.03020007550018875
Baryphthengus,8,0.03020007550018875
Ortalis,8,0.03020007550018875
Topaza,8,0.03020007550018875
Accipiter,8,0.03020007550018875
Notharchus,7,0.02642506606266516
Forpus,7,0.02642506606266516
Chelidoptera,7,0.02642506606266516
Sturnella,7,0.02642506606266516
Chlorostilbon,7,0.02642506606266516
Icterus,7,0.02642506606266516
Caryothraustes,7,0.02642506606266516
Hemithraupis,7,0.02642506606266516
Piranga,7,0.02642506606266516
Caracara,7,0.02642506606266516
Hirundo,7,0.02642506606266516
Pionus,7,0.02642506606266516
Pyrilia,7,0.02642506606266516
Coccycua,7,0.02642506606266516
Myiophobus,7,0.02642506606266516
Myrmochanes,7,0.02642506606266516
Amazona,7,0.02642506606266516
Capsiempis,7,0.02642506606266516
Asio,7,0.02642506606266516
Glaucidium,7,0.02642506606266516
Stelgidopteryx,7,0.02642506606266516
Camptostoma,6,0.022650056625141562
Coragyps,6,0.022650056625141562
Brachygalba,6,0.022650056625141562
Dendrocygna,6,0.022650056625141562
Estrilda,6,0.022650056625141562
Philohydor,6,0.022650056625141562
Empidonomus,6,0.022650056625141562
Pluvialis,6,0.022650056625141562
Ochthornis,6,0.022650056625141562
Hylopezus,6,0.022650056625141562
Zonotrichia,6,0.022650056625141562
Heliornis,6,0.022650056625141562
Chaetura,6,0.022650056625141562
Akletos,6,0.022650056625141562
Heliomaster,6,0.022650056625141562
Lurocalis,5,0.01887504718761797
Ara,5,0.01887504718761797
Chlorophonia,5,0.01887504718761797
Amaurolimnas,5,0.01887504718761797
Grallaria,5,0.01887504718761797
Strix,5,0.01887504718761797
Odontophorus,5,0.01887504718761797
Tinamus,5,0.01887504718761797
Atlapetes,5,0.01887504718761797
Melanerpes,5,0.01887504718761797
Crax,5,0.01887504718761797
Neoctantes,5,0.01887504718761797
Procnias,5,0.01887504718761797
Charadrius,5,0.01887504718761797
Basileuterus,5,0.01887504718761797
Microxenops,5,0.01887504718761797
Periporphyrus,5,0.01887504718761797
Ancistrops,5,0.01887504718761797
Chrysolampis,5,0.01887504718761797
Ilicura,5,0.01887504718761797
Leucopternis,5,0.01887504718761797
Tyto,5,0.01887504718761797
Pyriglena,5,0.01887504718761797
Thripophaga,5,0.01887504718761797
Polioptila,5,0.01887504718761797
Eubucco,4,0.015100037750094376
Neopipo,4,0.015100037750094376
Eupsittula,4,0.015100037750094376
Syndactyla,4,0.015100037750094376
Tigrisoma,4,0.015100037750094376
Antrostomus,4,0.015100037750094376
Ardea,4,0.015100037750094376
Liosceles,4,0.015100037750094376
Dryocopus,4,0.015100037750094376
Sublegatus,4,0.015100037750094376
Colibri,4,0.015100037750094376
Laterallus,4,0.015100037750094376
Arremonops,4,0.015100037750094376
Doryfera,4,0.015100037750094376
Graydidascalus,4,0.015100037750094376
Contopus,4,0.015100037750094376
Atticora,4,0.015100037750094376
Neocrex,4,0.015100037750094376
Querula,4,0.015100037750094376
Granatellus,4,0.015100037750094376
Clibanornis,4,0.015100037750094376
Donacobius,4,0.015100037750094376
Campephilus,4,0.015100037750094376
Myrmeciza,3,0.011325028312570781
Lophornis,3,0.011325028312570781
Tachycineta,3,0.011325028312570781
Caprimulgidae,3,0.011325028312570781
Falco,3,0.011325028312570781
Rupicola,3,0.011325028312570781
Cyanicterus,3,0.011325028312570781
Campylorhynchus,3,0.011325028312570781
Electron,3,0.011325028312570781
Opisthocomus,3,0.011325028312570781
Harpia,3,0.011325028312570781
Milvago,3,0.011325028312570781
Pharomachrus,3,0.011325028312570781
Tyrannidae,3,0.011325028312570781
Trochilidae,3,0.011325028312570781
Parkesia,3,0.011325028312570781
Geranospiza,3,0.011325028312570781
Drymophila,3,0.011325028312570781
Eurypyga,3,0.011325028312570781
Ornithion,3,0.011325028312570781
Nannopterum,3,0.011325028312570781
Mitrospingus,3,0.011325028312570781
Phylloscartes,3,0.011325028312570781
Diglossa,3,0.011325028312570781
Heterospizias,3,0.011325028312570781
Procacicus,3,0.011325028312570781
Tiaris,3,0.011325028312570781
Rostrhamus,3,0.011325028312570781
Tringa,3,0.011325028312570781
Cochlearius,3,0.011325028312570781
Caprimulgus,3,0.011325028312570781
Megaceryle,3,0.011325028312570781
Nyctiphrynus,3,0.011325028312570781
Metopothrix,3,0.011325028312570781
Berlepschia,3,0.011325028312570781
Aramides,3,0.011325028312570781
Butorides,3,0.011325028312570781
Riparia,3,0.011325028312570781
Aburria,3,0.011325028312570781
Ramphodon,3,0.011325028312570781
Podager,3,0.011325028312570781
Orthopsittaca,3,0.011325028312570781
Touit,2,0.007550018875047188
Athene,2,0.007550018875047188
Discosura,2,0.007550018875047188
Leucippus,2,0.007550018875047188
Cypseloides,2,0.007550018875047188
Pionites,2,0.007550018875047188
Anhinga,2,0.007550018875047188
Claravis,2,0.007550018875047188
Tachornis,2,0.007550018875047188
Atalotriccus,2,0.007550018875047188
Jacana,2,0.007550018875047188
Lampropsar,2,0.007550018875047188
Thamnophilidae,2,0.007550018875047188
Amazonetta,2,0.007550018875047188
Anhima,2,0.007550018875047188
Pandion,2,0.007550018875047188
Aramus,2,0.007550018875047188
Phyllomyias,2,0.007550018875047188
Thlypopsis,2,0.007550018875047188
Spizaetus,2,0.007550018875047188
Gallinago,2,0.007550018875047188
Agamia,2,0.007550018875047188
Macroagelaius,2,0.007550018875047188
Egretta,2,0.007550018875047188
Aratinga,2,0.007550018875047188
Lamprospiza,2,0.007550018875047188
Molothrus,2,0.007550018875047188
Harpagus,2,0.007550018875047188
Pipreola,2,0.007550018875047188
Spinus,2,0.007550018875047188
Pipridae,2,0.007550018875047188
Xipholena,2,0.007550018875047188
Geranoaetus,1,0.003775009437523594
Himantopus,1,0.003775009437523594
Dendrexetastes,1,0.003775009437523594
Ibycter,1,0.003775009437523594
Sirystes,1,0.003775009437523594
Colinus,1,0.003775009437523594
Euchrepomis,1,0.003775009437523594
Buteogallus,1,0.003775009437523594
Actitis,1,0.003775009437523594
Trichothraupis,1,0.003775009437523594
Bartramia,1,0.003775009437523594
Arundinicola,1,0.003775009437523594
Gelochelidon,1,0.003775009437523594
Colonia,1,0.003775009437523594
Taeniotriccus,1,0.003775009437523594
Dromococcyx,1,0.003775009437523594
Spiza,1,0.003775009437523594
Daptrius,1,0.003775009437523594
Phaetusa,1,0.003775009437523594
Coryphospingus,1,0.003775009437523594
Pseudastur,1,0.003775009437523594
Perissocephalus,1,0.003775009437523594
Chamaeza,1,0.003775009437523594
Psittacidae,1,0.003775009437523594
Aulacorhynchus,1,0.003775009437523594
Theristicus,1,0.003775009437523594
Tyrannopsis,1,0.003775009437523594
Zenaida,1,0.003775009437523594
Grallaricula,1,0.003775009437523594
Leptodon,1,0.003775009437523594
Gymnomystax,1,0.003775009437523594
Lochmias,1,0.003775009437523594
Anurolimnas,1,0.003775009437523594
Iodopleura,1,0.003775009437523594
Syrigma,1,0.003775009437523594
Leucochloris,1,0.003775009437523594
Muscisaxicola,1,0.003775009437523594
Zebrilus,1,0.003775009437523594
Chondrohierax,1,0.003775009437523594
Xenopsaris,1,0.003775009437523594
Micropygia,1,0.003775009437523594
Larus,1,0.003775009437523594
Gymnoderus,1,0.003775009437523594
Odontorchilus,1,0.003775009437523594
Pyrocephalus,1,0.003775009437523594
Deroptyus,1,0.003775009437523594
Vanellus,1,0.003775009437523594
Ictinia,1,0.003775009437523594
Terenura,1,0.003775009437523594
Oxyruncus,1,0.003775009437523594
Morphnus,1,0.003775009437523594
Urubitinga,1,0.003775009437523594
Griseotyrannus,1,0.003775009437523594
Nothocrax,1,0.003775009437523594
Passerina,1,0.003775009437523594
